TCP:-299.63 -110.57 302.34 2.215 2.188 0.045rad
joint: -0.35 -89.07 90.95 -89.6 -89.79 0.43

-299.63 -110.59 388.73 1.859 1.860 -0.543
-9.39 -88.95 68.39 -60.22 -55.87 347.70

-299.63 -110.59 388.74 1.862 1.617 -0.101
-7.78 -76.79 47.32 -32.01 -62.02 352.86

-330.38 -109.74 379.77 2.133 2.291 -2.079
-6.09 -85.12 105.70 -184.33 -67.76 6.96

-330.37 -109.74 379.79 1.897 2.243 -2.672
-6.11 -75.55 103.36 -213.06 -67.04 9.21

-330.38 -109.74 379.78 1.378 2.004 -3.447
-5.77 -62.38 90.64 -241.51 -68.91 11.79

-330.37 93.52 379.76 3.226 2.138 -3.121
-36.04 -61.96 90.91 -242.41 -85.82 355.22

-330.39 93.54 379.75 3.197 1.873 -2.175
-39.44 -80.29 106.29 -203.40 -72.59 6.89

-330.37 93.51 379.81 2.911 2.296 -0.170
-33.71 -90.57 88.49 -120.62 -94.78 338.53

88.83 -279.04 440.58 0.321 1.572 -1.433
71.95 -92.19 105.56 -204.91 -45.23 58.93

88.81 -279.08 440.55 0.836 2.140 -0.632
73.60 -106.92 92.96 -115.63 -51.26 40.81

251.63 65.71 460.68 1.249 -3.857 -0.198
156.46 -114.53 92.41 -109.90 -54.06 44.88

251.60 65.71 460.73 1.686 -4.705 -0.035
153.95 -98.11 107.15 -212.18 -46.57 87.14

-32.75 214.14 597.10 2.409 -4.698 0.509
264.44 -74.73 42.52 -201.42 -136.00 15.75

-32.80 214.10 515.13 4.691 0.008 0.437
232.15 -119.99 101.74 -162.48 -57.41 355.24

-32.77 214.14 515.09 2.167 -3.026 -2.234
242.89 -116.79 100.14 -163.28 -80.34 91.63

-32.77 214.14 515.08 3.775 -1.632 -0.082
246.55 -116.39 81.74 -111.10 -87.94 24.45
