x y z Tx Ty Tz 
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 1.55515 0 0 0
0 0 1.84652 0 0 0
0 0 2.22581 0 0 0
0 0 2.73119 0 0 0
0 0 3.32003 0 0 0
0 0 3.94522 0 -0.0555083 0
0 0 4.62004 0 -0.0614367 0
0 0 5.32208 0.0538122 -0.0669262 0
0 0 6.02218 0.0653913 -0.0705891 0
0 0 6.71029 0.0765905 -0.0727792 0
0 0 7.74543 0.0923254 -0.0744143 0
0 0 8.0565 0.0970836 -0.0733566 0
0 0 8.63112 0.105885 -0.0698566 0
0 0 9.17177 0.112967 -0.0660607 0
0 0 9.65879 0.117815 -0.0611053 0
0 0 10.0959 0.12017 -0.0550662 0
0 0 10.6547 0.120304 0 0
0 0 10.8048 0.119986 0 0
0 0 11.0595 0.118405 0 0
0 0 11.3508 0.113638 0 0
0 0 11.484 0.110001 0 0
-1.50466 0 11.5333 0.107996 0 0
-1.60067 0 11.5799 0.105657 0 0
-1.82434 0 11.6572 0.100531 0 0
-2.12492 0 11.7055 0.0925925 0 0
-2.20247 0 11.7003 0.0904204 0 0
-2.35587 0 11.657 0.0863551 0 0
-2.43076 0 11.6134 0.0843442 0 0
-2.49575 -1.50044 11.5584 0.0826003 0 0
-2.59469 -1.5119 11.434 0.0798474 0 0
-2.66032 -1.52257 11.2994 0.0774934 0 0
-2.69476 -1.55275 11.1417 0.075166 0 0
-2.70749 -1.58191 11.0563 0.0736993 0 0
-2.72236 -1.62986 10.8694 0.0706324 0 0
-2.72001 -1.65024 10.7708 0.0691946 0 0
-2.67136 -1.71092 10.4694 0.0640256 0 0
-2.60401 -1.74383 10.2631 0.0602938 0 0
-2.56161 -1.73353 10.0333 0.0581781 0 0
-2.5131 -1.69364 9.81046 0.0572342 0 0
-2.45121 -1.68449 9.64099 0.0557017 0 0
-2.38954 -1.65785 9.49335 0.0544993 0 0
-2.31234 -1.63002 9.34169 0.053762 0 0
-2.21716 -1.62833 9.2233 0.0519116 0 0
-2.11491 -1.63653 9.13445 0 0 0
-2.02792 -1.64406 9.05534 0 0 0
-1.94675 -1.68066 8.98668 0 0 0
-1.88638 -1.72385 8.96091 0 0 0
-1.84822 -1.74665 8.96592 0 0 0
-1.82312 -1.7592 8.98604 0 0 0
-1.78271 -1.7766 9.01511 0 0 0
-1.72672 -1.7537 9.05748 0 0 0
-1.6733 -1.70394 9.11015 0 0 0
-1.62502 -1.67253 9.17485 0 0 0
-1.57007 -1.65774 9.2699 0 0 0
-1.53506 -1.65149 9.32486 0 0 0
0 -1.62513 9.52001 0 0 0
0 -1.60819 9.64272 0.0511068 0 0
0 -1.58996 9.76863 0.053571 0 0
0 -1.56344 9.85142 0.0562101 0 0
0 -1.554 9.93731 0.0576918 0 0
0 -1.56138 9.995 0.0580883 0 0
0 -1.58242 10.0967 0.0594164 0 0
0 -1.60435 10.1528 0.0591167 0 0
0 -1.62746 10.1964 0.0585766 0 0
0 -1.65048 10.2388 0.0577516 0 0
0 -1.67259 10.258 0.0575674 0 0
0 -1.67564 10.2598 0.0578438 0 0
0 -1.67903 10.2735 0.0576116 0 0
0 -1.68912 10.2709 0.0565985 0 0
0 -1.69685 10.2764 0.0554519 0 0
0 -1.71012 10.2885 0.0539295 0 0
-1.54365 -1.74234 10.2947 0.051457 0 0
-1.59279 -1.80967 10.2952 0 0 0
-1.64594 -1.86101 10.2872 0 0 0
-1.68359 -1.91005 10.2913 0 0 0
-1.70459 -1.95251 10.2771 0 0 0
-1.71345 -1.96858 10.2369 0 0 0
-1.71723 -1.96765 10.2063 0 0 0
-1.7175 -1.96321 10.1861 0 0 0
-1.7048 -1.96695 10.1535 0 0 0
-1.70186 -1.96775 10.1171 0 0 0
-1.71633 -1.9707 10.0981 0 0 0
-1.73552 -1.95358 10.0928 0 0 0
-1.75238 -1.9275 10.0779 0 0 0
-1.77796 -1.91342 10.0661 0 0 0
-1.79611 -1.90642 10.0722 0 0 0
-1.8327 -1.87284 10.0702 0 0 0
-1.84952 -1.86572 10.0623 0 0 0
-1.87255 -1.88231 10.0558 0 0 0
-1.89009 -1.89431 10.0684 0 0 0
-1.89126 -1.89355 10.0742 0 0 0
-1.89293 -1.88174 10.0739 0 0 0
-1.89775 -1.89087 10.077 0 0 0
-1.89589 -1.88729 10.0699 0 0 0
-1.89441 -1.8795 10.0612 0 0 0
-1.88938 -1.85827 10.0412 0 0 0
-1.8759 -1.83071 9.99709 0 0 0
-1.87121 -1.81901 9.96872 0 0 0
-1.86565 -1.79394 9.95541 0 0 0
-1.86388 -1.77991 9.95276 0 0 0
-1.88325 -1.80011 9.99627 0 0 0
-1.88801 -1.80735 10.0095 0 0 0
-1.89513 -1.82709 10.0494 0 0 0
-1.89523 -1.83628 10.0636 0 0 0
-1.89207 -1.84645 10.0672 0 0 0
-1.89296 -1.85857 10.0672 0 0 0
-1.88708 -1.86028 10.0585 0 0 0
-1.87552 -1.85651 10.0425 0 0 0
-1.8505 -1.85061 10.0133 0 0 0
-1.85374 -1.8497 10.0009 0 0 0
-1.85493 -1.84945 9.98612 0 0 0
-1.85125 -1.86187 9.98591 0 0 0
-1.84779 -1.86492 9.98657 0 0 0
-1.86333 -1.8562 9.99907 0 0 0
-1.86863 -1.84493 9.99209 0 0 0
-1.86925 -1.83814 9.98962 0 0 0
-1.86463 -1.83954 9.98857 0 0 0
-1.85808 -1.85929 9.9955 0 0 0
-1.85871 -1.88014 10.0014 0 0 0
-1.85961 -1.89008 9.99992 0 0 0
-1.8569 -1.89569 9.99168 0 0 0
-1.83983 -1.90694 9.97239 0 0 0
-1.83034 -1.92941 9.97682 0 0 0
-1.8329 -1.92621 9.9739 0 0 0
-1.83417 -1.9173 9.96858 0 0 0
-1.83254 -1.90404 9.96035 0 0 0
-1.82769 -1.8905 9.95262 0 0 0
-1.82766 -1.88583 9.95754 0 0 0
-1.83636 -1.8961 9.99229 0 0 0
-1.82508 -1.89106 9.99054 0 0 0
-1.81094 -1.88259 9.97465 0 0 0
-1.80258 -1.87604 9.9741 0 0 0
-1.8057 -1.89488 9.98211 0 0 0
-1.78965 -1.88354 9.94212 0 0 0
-1.78895 -1.88025 9.93636 0 0 0
-1.79511 -1.87523 9.93294 0 0 0
-1.78402 -1.86524 9.91489 0 0 0
-1.75969 -1.84122 9.87482 0 0 0
-1.73893 -1.81211 9.83742 0 0 0
-1.74687 -1.81658 9.84053 0 0 0
-1.74096 -1.83626 9.84326 0 0 0
-1.72398 -1.84813 9.82887 0 0 0
-1.70865 -1.86013 9.82594 0 0 0
-1.70252 -1.87193 9.84071 0 0 0
-1.67764 -1.86939 9.82425 0 0 0
-1.65579 -1.85243 9.79243 0 0 0
-1.65222 -1.84244 9.77408 0 0 0
-1.65637 -1.84245 9.77208 0 0 0
-1.66289 -1.83878 9.77025 0 0 0
-1.67357 -1.83779 9.76994 0 0 0
-1.69136 -1.84438 9.77731 0 0 0
-1.69597 -1.85131 9.78784 0 0 0
-1.69763 -1.86094 9.79615 0 0 0
-1.67622 -1.8654 9.78682 0 0 0
-1.63891 -1.85259 9.7839 0 0 0
-1.59112 -1.84274 9.76945 0 0 0
-1.54118 -1.82707 9.74191 0 0 0
-1.50098 -1.81549 9.71884 0 0 0
0 -1.80172 9.72875 0 0 0
-1.52331 -1.8044 9.77283 0 0 0
-1.54241 -1.80092 9.78599 0 0 0
-1.54708 -1.80241 9.80135 0 0 0
-1.54227 -1.79442 9.81927 0 0 0
-1.53373 -1.79701 9.84849 0 0 0
-1.50012 -1.80916 9.87603 0 0 0
0 -1.81583 9.91554 0 0 0
